fetchedAtUTC,LastUpdatedTime,location_address,location_name,location_longtitude,location_latitude,location_postalCode,location_locationId,location_status,location_status_desc,cp_status,cp_status_desc,cp_operatingHours,cp_operator,cp_position,cp_name,cp_id,plug_plugType,plug_powerRating,plug_chargingSpeed,plug_current,plug_price,plug_priceType,ev_id,evCpId,ev_status,ev_status_desc
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,714A WOODLANDS DRIVE 70 SINGAPORE 731714,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,103.799065,1.441502,731714,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L3A 89,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,,Type 2,7,,AC,0.6700,kWh,,R108556Z-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,714A WOODLANDS DRIVE 70 SINGAPORE 731714,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,103.799065,1.441502,731714,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L3A 90,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,,Type 2,7,,AC,0.6700,kWh,,R108557C-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,714A WOODLANDS DRIVE 70 SINGAPORE 731714,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,103.799065,1.441502,731714,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L3A 91,BLK 714A WOODLANDS DRIVE 70 KAMPUNG GREEN,,Type 2,7,,AC,0.6700,kWh,,R108558G-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,500 JALAN SULTAN SINGAPORE 199020,HOTEL BOSS,103.860396,1.305774,199020,,,Unknown/Not Provided,1,Available,,VOLT SINGAPORE PTE. LTD.,L3 75,HOTEL BOSS,,Type 2,22,,AC,0.5500,kWh,,R106000Z-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,500 JALAN SULTAN SINGAPORE 199020,HOTEL BOSS,103.860396,1.305774,199020,,,Unknown/Not Provided,1,Available,,VOLT SINGAPORE PTE. LTD.,L3 76,HOTEL BOSS,,Type 2,22,,AC,0.5500,kWh,,R105999C-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 473,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124590F-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 474,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124591Z-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 470,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124589C-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 469,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124588Z-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 468,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124587F-001,1,Available
